link_id,lanes,length,from_node_id,to_node_id,FT,AT,time_period,assignment_period,volume_per_lane,speed,date,volume,geometry,time_index
1317,3,1.3,511,512,1,1,1400_1415,1400_1800,228.6666667,62.33333333,1/1/2016,686,LINESTRING ( -112.0846681 33.461168),0
1317,3,1.3,511,512,1,1,1415_1430,1400_1800,256.3333333,63.22222222,1/1/2016,769,LINESTRING ( -112.0846681 33.461170),15
1317,3,1.3,511,512,1,1,1430_1445,1400_1800,244,61.88888889,1/1/2016,732,LINESTRING ( -112.0846681 33.461172),30
1317,3,1.3,511,512,1,1,1445_1500,1400_1800,248.6666667,63.33333333,1/1/2016,746,LINESTRING ( -112.0846681 33.461174),45
1317,3,1.3,511,512,1,1,1500_1515,1400_1800,238,62.55555556,1/1/2016,714,LINESTRING ( -112.0846681 33.461176),60
1317,3,1.3,511,512,1,1,1515_1530,1400_1800,243,62.44444444,1/1/2016,729,LINESTRING ( -112.0846681 33.461178),75
1317,3,1.3,511,512,1,1,1530_1545,1400_1800,249.3333333,62.44444444,1/1/2016,748,LINESTRING ( -112.0846681 33.461180),90
1317,3,1.3,511,512,1,1,1545_1600,1400_1800,242,62.88888889,1/1/2016,726,LINESTRING ( -112.0846681 33.461182),105
1317,3,1.3,511,512,1,1,1600_1615,1400_1800,237,62.66666667,1/1/2016,711,LINESTRING ( -112.0846681 33.461184),120
1317,3,1.3,511,512,1,1,1615_1630,1400_1800,221.3333333,62.44444444,1/1/2016,664,LINESTRING ( -112.0846681 33.461186),135
1317,3,1.3,511,512,1,1,1630_1645,1400_1800,221,63,1/1/2016,663,LINESTRING ( -112.0846681 33.461188),150
1317,3,1.3,511,512,1,1,1645_1700,1400_1800,241.3333333,62.33333333,1/1/2016,724,LINESTRING ( -112.0846681 33.461190),165
1317,3,1.3,511,512,1,1,1700_1715,1400_1800,236.3333333,61.88888889,1/1/2016,709,LINESTRING ( -112.0846681 33.461192),180
1317,3,1.3,511,512,1,1,1715_1730,1400_1800,234,62,1/1/2016,702,LINESTRING ( -112.0846681 33.461194),195
1317,3,1.3,511,512,1,1,1730_1745,1400_1800,228,62.66666667,1/1/2016,684,LINESTRING ( -112.0846681 33.461196),210
1317,3,1.3,511,512,1,1,1745_1800,1400_1800,227.6666667,62.88888889,1/1/2016,683,LINESTRING ( -112.0846681 33.461198),225
1317,3,1.3,511,512,1,1,1400_1415,1400_1800,288,62.77777778,1/2/2016,864,LINESTRING ( -112.0846681 33.461360),0
1317,3,1.3,511,512,1,1,1415_1430,1400_1800,282.3333333,63.22222222,1/2/2016,847,LINESTRING ( -112.0846681 33.461362),15
1317,3,1.3,511,512,1,1,1430_1445,1400_1800,286.3333333,63.11111111,1/2/2016,859,LINESTRING ( -112.0846681 33.461364),30
1317,3,1.3,511,512,1,1,1445_1500,1400_1800,267.6666667,63.44444444,1/2/2016,803,LINESTRING ( -112.0846681 33.461366),45
1317,3,1.3,511,512,1,1,1500_1515,1400_1800,273.3333333,63.33333333,1/2/2016,820,LINESTRING ( -112.0846681 33.461368),60
1317,3,1.3,511,512,1,1,1515_1530,1400_1800,268,63.55555556,1/2/2016,804,LINESTRING ( -112.0846681 33.461370),75
1317,3,1.3,511,512,1,1,1530_1545,1400_1800,293.3333333,62.77777778,1/2/2016,880,LINESTRING ( -112.0846681 33.461372),90
1317,3,1.3,511,512,1,1,1545_1600,1400_1800,278.6666667,62.66666667,1/2/2016,836,LINESTRING ( -112.0846681 33.461374),105
1317,3,1.3,511,512,1,1,1600_1615,1400_1800,268,62.66666667,1/2/2016,804,LINESTRING ( -112.0846681 33.461376),120
1317,3,1.3,511,512,1,1,1615_1630,1400_1800,283,61.44444444,1/2/2016,849,LINESTRING ( -112.0846681 33.461378),135
1317,3,1.3,511,512,1,1,1630_1645,1400_1800,263.3333333,62.88888889,1/2/2016,790,LINESTRING ( -112.0846681 33.461380),150
1317,3,1.3,511,512,1,1,1645_1700,1400_1800,279,62.77777778,1/2/2016,837,LINESTRING ( -112.0846681 33.461382),165
1317,3,1.3,511,512,1,1,1700_1715,1400_1800,281.3333333,62.22222222,1/2/2016,844,LINESTRING ( -112.0846681 33.461384),180
1317,3,1.3,511,512,1,1,1715_1730,1400_1800,270.6666667,62.22222222,1/2/2016,812,LINESTRING ( -112.0846681 33.461386),195
1317,3,1.3,511,512,1,1,1730_1745,1400_1800,273.3333333,62.11111111,1/2/2016,820,LINESTRING ( -112.0846681 33.461388),210
1317,3,1.3,511,512,1,1,1745_1800,1400_1800,257.3333333,62,1/2/2016,772,LINESTRING ( -112.0846681 33.461390),225
1317,3,1.3,511,512,1,1,1400_1415,1400_1800,278.3333333,62.55555556,1/3/2016,835,LINESTRING ( -112.0846681 33.461552),0
1317,3,1.3,511,512,1,1,1415_1430,1400_1800,280,62.55555556,1/3/2016,840,LINESTRING ( -112.0846681 33.461554),15
1317,3,1.3,511,512,1,1,1430_1445,1400_1800,270.3333333,63.66666667,1/3/2016,811,LINESTRING ( -112.0846681 33.461556),30
1317,3,1.3,511,512,1,1,1445_1500,1400_1800,270,63.44444444,1/3/2016,810,LINESTRING ( -112.0846681 33.461558),45
1317,3,1.3,511,512,1,1,1500_1515,1400_1800,258.3333333,63.33333333,1/3/2016,775,LINESTRING ( -112.0846681 33.461560),60
1317,3,1.3,511,512,1,1,1515_1530,1400_1800,258.6666667,62.66666667,1/3/2016,776,LINESTRING ( -112.0846681 33.461562),75
1317,3,1.3,511,512,1,1,1530_1545,1400_1800,245.6666667,62.88888889,1/3/2016,737,LINESTRING ( -112.0846681 33.461564),90
1317,3,1.3,511,512,1,1,1545_1600,1400_1800,254.6666667,62.77777778,1/3/2016,764,LINESTRING ( -112.0846681 33.461566),105
1317,3,1.3,511,512,1,1,1600_1615,1400_1800,247,63.44444444,1/3/2016,741,LINESTRING ( -112.0846681 33.461568),120
1317,3,1.3,511,512,1,1,1615_1630,1400_1800,261.3333333,61.77777778,1/3/2016,784,LINESTRING ( -112.0846681 33.461570),135
1317,3,1.3,511,512,1,1,1630_1645,1400_1800,254,62.11111111,1/3/2016,762,LINESTRING ( -112.0846681 33.461572),150
1317,3,1.3,511,512,1,1,1645_1700,1400_1800,248.3333333,62.55555556,1/3/2016,745,LINESTRING ( -112.0846681 33.461574),165
1317,3,1.3,511,512,1,1,1700_1715,1400_1800,235,61.22222222,1/3/2016,705,LINESTRING ( -112.0846681 33.461576),180
1317,3,1.3,511,512,1,1,1715_1730,1400_1800,253.6666667,61.33333333,1/3/2016,761,LINESTRING ( -112.0846681 33.461578),195
1317,3,1.3,511,512,1,1,1730_1745,1400_1800,256.6666667,62,1/3/2016,770,LINESTRING ( -112.0846681 33.461580),210
1317,3,1.3,511,512,1,1,1745_1800,1400_1800,281,62.11111111,1/3/2016,843,LINESTRING ( -112.0846681 33.461582),225
1317,3,1.3,511,512,1,1,1400_1415,1400_1800,284,62.11111111,1/4/2016,852,LINESTRING ( -112.0846681 33.461732),0
1317,3,1.3,511,512,1,1,1415_1430,1400_1800,295.3333333,60.33333333,1/4/2016,886,LINESTRING ( -112.0846681 33.461734),15
1317,3,1.3,511,512,1,1,1430_1445,1400_1800,281.3333333,62.33333333,1/4/2016,844,LINESTRING ( -112.0846681 33.461736),30
1317,3,1.3,511,512,1,1,1445_1500,1400_1800,312,62.55555556,1/4/2016,936,LINESTRING ( -112.0846681 33.461738),45
1317,3,1.3,511,512,1,1,1500_1515,1400_1800,290.6666667,48.33333333,1/4/2016,872,LINESTRING ( -112.0846681 33.461740),60
1317,3,1.3,511,512,1,1,1515_1530,1400_1800,307.6666667,39.77777778,1/4/2016,923,LINESTRING ( -112.0846681 33.461742),75
1317,3,1.3,511,512,1,1,1530_1545,1400_1800,297.3333333,37.88888889,1/4/2016,892,LINESTRING ( -112.0846681 33.461744),90
1317,3,1.3,511,512,1,1,1545_1600,1400_1800,301.6666667,28.66666667,1/4/2016,905,LINESTRING ( -112.0846681 33.461746),105
1317,3,1.3,511,512,1,1,1600_1615,1400_1800,307,26.55555556,1/4/2016,921,LINESTRING ( -112.0846681 33.461748),120
1317,3,1.3,511,512,1,1,1615_1630,1400_1800,272.6666667,25,1/4/2016,818,LINESTRING ( -112.0846681 33.461750),135
1317,3,1.3,511,512,1,1,1630_1645,1400_1800,261.6666667,26.33333333,1/4/2016,785,LINESTRING ( -112.0846681 33.461752),150
1317,3,1.3,511,512,1,1,1645_1700,1400_1800,202.3333333,12.11111111,1/4/2016,607,LINESTRING ( -112.0846681 33.461754),165
1317,3,1.3,511,512,1,1,1700_1715,1400_1800,150,6.222222222,1/4/2016,450,LINESTRING ( -112.0846681 33.461756),180
1317,3,1.3,511,512,1,1,1715_1730,1400_1800,174.3333333,6.444444444,1/4/2016,523,LINESTRING ( -112.0846681 33.461758),195
1317,3,1.3,511,512,1,1,1730_1745,1400_1800,217.3333333,7.333333333,1/4/2016,652,LINESTRING ( -112.0846681 33.461760),210
1317,3,1.3,511,512,1,1,1745_1800,1400_1800,170,4.555555556,1/4/2016,510,LINESTRING ( -112.0846681 33.461762),225
1317,3,1.3,511,512,1,1,1400_1415,1400_1800,285,60.22222222,1/5/2016,855,LINESTRING ( -112.0846681 33.461924),0
1317,3,1.3,511,512,1,1,1415_1430,1400_1800,273.3333333,57.44444444,1/5/2016,820,LINESTRING ( -112.0846681 33.461926),15
1317,3,1.3,511,512,1,1,1430_1445,1400_1800,288,31.22222222,1/5/2016,864,LINESTRING ( -112.0846681 33.461928),30
1317,3,1.3,511,512,1,1,1445_1500,1400_1800,294.6666667,18.33333333,1/5/2016,884,LINESTRING ( -112.0846681 33.461930),45
1317,3,1.3,511,512,1,1,1500_1515,1400_1800,325.3333333,22.44444444,1/5/2016,976,LINESTRING ( -112.0846681 33.461932),60
